scenario,auc,gini,ks,brier,calibration_intercept,calibration_slope
base,0.7295238095238095,0.4590476190476189,0.37380952380952376,0.18375347345221954,-0.31215652470394,0.6411495624095451
pd_plus_5pp,0.7295238095238095,0.4590476190476189,0.37380952380952376,0.18789428150144935,-0.5155074546524542,0.6900374352623645
pd_minus_5pp,0.7278571428571428,0.4557142857142855,0.37380952380952376,0.18437751791113333,-0.3810660959654196,0.2658441202118768
odds_up_10pct,0.7295238095238095,0.4590476190476189,0.37380952380952376,0.18529175268689044,-0.3733317134682134,0.6411676496497488
odds_down_10pct,0.7295238095238095,0.4590476190476189,0.37380952380952376,0.18260194373912939,-0.24438755231515139,0.641140622492784
